mint,fired_conditional,origin_program,origin_name,venue_program,venue_name,venue_kind,pool_venue_program,curated_dex_has_rows,signers_holdout,tx_holdout,moves_before_holdout
2uJonEHsQh2XYeSJxe4p4p6us7K2adMaU5vGGySWftvA,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,14,30,0
9UVEvHQpsMcRGf3EzFdad7NguUy2Xqj7m2cZ7tGUpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,1,2,0
Bnhhpi2emD8nkGcGz4HTKvYJiyyv3jwcXkV6KMDwpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,,UNKNOWN,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH,false,31,71,0
J4LvNCGN188hB78GGZNNGofkB95R6KZsoPjLud2gpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,26,55,0
HZr4H5ozPAsicGizPwU9bXvFqSUHLRejD32LzQPkpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,3,6,0
GakRBdUcrSKSAhHxbH4MqrvGTQD7PFxh4oSHa14Wpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,87,232,0
8WpKf1VDp2qSDNwdhStj9bCJJkCqtywBp97oBsiYpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,,UNKNOWN,FLASHX8DrLbgeR8FcfNV1F5krxYcYMUdBkrP1EPBtxB9,false,13,24,0
Ha8YfehV4WMetcUU2saBAKvfrWj7Tmc1Xs8jxrAApump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,CURVE,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,false,194,528,0
3zAPcrKU2fhujvFHfv19iXst4xwsSxckbdsYn4e9wjk4,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,,UNKNOWN,6Vo3245eszAb5wuqEMw8mGdbfRUdKbHhDHP5LcaGuTAB,false,6,11,0
F3QzTy4U135fctZjLMLc7vp2j3gQQQ9rbB8PmwFXpump,false,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,pump.fun bonding curve,term9YPb9mzAsABaqN71A4xdbxHmpBNZavpBiQKZzN3,,UNKNOWN,term9YPb9mzAsABaqN71A4xdbxHmpBNZavpBiQKZzN3,false,14,130,0
