trigger,population,tier_bucket,notional_sol,cost_floor_pct,cost_floor_from_tier,cost_floor_exact,fired_holdout,selectivity_holdout,arrivals_per_day,n_holdout,n_fit,censored_holdout,utc_days_holdout,gross_mean_holdout,gross_mean_fit,sd_holdout,net_mean_holdout,cv_net,required_n,days,decidable_point,holdout_lower,holdout_upper,net_lower_bound,decidable_holdout,censored_fraction,carry_forward_marked,no_mark_at_all,n_carry_forward,carry_forward_mean,net_carry_forward_mean,carry_forward_lower,carry_forward_upper,net_carry_forward_lower,n_residual_zero,residual_zero_mean,net_residual_zero_mean,residual_zero_lower,residual_zero_upper,net_residual_zero_lower,correction_agrees_in_sign
T0,migrated-at-entry,tier1,0.02,2.4687,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9694185661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.4989486344108385,,,,9,-0.9938590629026763,-1.0185460629026764,,,,true
T0,migrated-at-entry,tier1,0.05,2.4874,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9696055661240865,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.49913563441083847,,,,9,-0.9938590629026763,-1.0187330629026763,,,,true
T0,migrated-at-entry,tier1,0.1,2.5668,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9703995661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.4999296344108385,,,,9,-0.9938590629026763,-1.0195270629026763,,,,true
T0,migrated-at-entry,tier1,0.2,2.7434,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9721655661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.5016956344108384,,,,9,-0.9938590629026763,-1.0212930629026764,,,,true
T0,migrated-at-entry,tier1,0.35,3.0133,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9748645661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.5043946344108384,,,,9,-0.9938590629026763,-1.0239920629026764,,,,true
T0,migrated-at-entry,tier1,0.5,3.2834,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9775655661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.5070956344108385,,,,9,-0.9938590629026763,-1.0266930629026763,,,,true
T0,migrated-at-entry,tier1,1,4.1748,1,true,9,0.10714285714285714,8.464285714285714,1,4,8,1,-0.9447315661240866,-0.9076907523900657,,-0.9864795661240866,,,,false,,,,false,0.8888888888888888,1,7,2,-0.47426163441083846,-0.5160096344108385,,,,9,-0.9938590629026763,-1.0356070629026763,,,,true
T0,migrated-at-entry,tier2,0.005,2.521,2,true,3,0.03571428571428571,2.821428571428571,1,1,2,2,-0.9882570793063647,-0.9863662621170545,,-1.0134670793063647,,,,false,-0.9882570793063647,-0.9882570793063647,-1.0134670793063647,false,0.6666666666666666,0,2,1,-0.9882570793063647,-1.0134670793063647,-0.9882570793063647,-0.9882570793063647,-1.0134670793063647,3,-0.9960856931021217,-1.0212956931021218,-1,-0.9941285396531824,-1.02521,true
T0,migrated-at-entry,tier2,0.01,2.4052,2,true,3,0.03571428571428571,2.821428571428571,1,1,2,2,-0.9882570793063647,-0.9863662621170545,,-1.0123090793063647,,,,false,-0.9882570793063647,-0.9882570793063647,-1.0123090793063647,false,0.6666666666666666,0,2,1,-0.9882570793063647,-1.0123090793063647,-0.9882570793063647,-0.9882570793063647,-1.0123090793063647,3,-0.9960856931021217,-1.0201376931021218,-1,-0.9941285396531824,-1.024052,true
T0,migrated-at-entry,tier2,0.02,2.3552,2,true,3,0.03571428571428571,2.821428571428571,1,1,2,2,-0.9882570793063647,-0.9863662621170545,,-1.0118090793063648,,,,false,-0.9882570793063647,-0.9882570793063647,-1.0118090793063648,false,0.6666666666666666,0,2,1,-0.9882570793063647,-1.0118090793063648,-0.9882570793063647,-0.9882570793063647,-1.0118090793063648,3,-0.9960856931021217,-1.0196376931021216,-1,-0.9941285396531824,-1.023552,true
T0,migrated-at-entry,tier2,0.05,2.3502,2,true,3,0.03571428571428571,2.821428571428571,1,1,2,2,-0.9882570793063647,-0.9863662621170545,,-1.0117590793063647,,,,false,-0.9882570793063647,-0.9882570793063647,-1.0117590793063647,false,0.6666666666666666,0,2,1,-0.9882570793063647,-1.0117590793063647,-0.9882570793063647,-0.9882570793063647,-1.0117590793063647,3,-0.9960856931021217,-1.0195876931021217,-1,-0.9941285396531824,-1.023502,true
